Patent,Cit_Date,Citation
6009620,1997-09-01,5662987
6009620,1997-09-01,5665650
6009620,1997-09-01,5666722
6009620,1997-11-01,5685070
6009620,1997-11-01,5689091
6009620,1998-04-01,5740606
6009620,1998-05-01,5745984
6009620,1998-07-01,5779836
6009620,1998-10-01,5822856
6009621,1979-05-01,4152826
6009622,1976-04-01,3950898
6009622,1980-04-01,4198745
6009622,1987-12-01,4712300
6009622,1990-12-01,4974319
6009623,1975-04-01,3879844
6009623,1983-04-01,4380121
6009623,1992-05-01,5111580
6009623,1992-09-01,5146680
6009623,1992-11-01,5165170
6009623,1994-09-01,5347715
6009623,1996-03-01,5500635
6009623,1997-02-01,5600888
6009623,1997-09-01,5671535
6009623,1998-08-01,5789844
6009624,1981-06-01,4270268
6009624,1983-04-01,4378633
6009624,1983-04-01,4378634
6009624,1984-04-01,4442598
6009624,1984-12-01,4488357
6009624,1985-01-01,4492024
6009624,1985-01-01,4492025
6009624,1985-02-01,4498235
6009624,1985-11-01,4551916
6009624,1986-03-01,4573266
6009624,1986-11-01,4621424
6009624,1991-11-01,5063667
6009624,1995-04-01,5402574
6009624,1995-05-01,5416974
6009624,1998-06-01,5761814
6009624,1998-08-01,5787586
6009625,1977-03-01,4010543
6009625,1981-07-01,4277891
6009625,1995-10-01,5461788
6009625,1996-12-01,5579582
6009625,1998-02-01,5720991
6009626,1981-05-01,4268927
6009626,1988-01-01,4721903
6009626,1997-09-01,5662686
6009627,1977-05-01,4020555
6009627,1978-08-01,4106181
6009627,1981-10-01,4294013
6009627,1984-04-01,4441255
6009627,1984-09-01,4470196
6009627,1985-07-01,4528753
6009627,1986-06-01,4594781
6009627,1986-07-01,4601477
6009627,1987-03-01,4648182
6009627,1992-04-01,5103565
6009627,1992-11-01,5165173
6009627,1993-11-01,5263972
6009627,1994-04-01,5306025
6009627,1994-06-01,5322302
6009627,1994-06-01,5324052
6009627,1995-08-01,5443276
6009627,1995-10-01,5458346
6009627,1996-01-01,5487221
6009627,1996-11-01,5573255
6009627,1996-11-01,5575071
6009628,1978-04-01,4081911
6009628,1980-12-01,4237611
6009628,1987-04-01,4656478
6009628,1989-06-01,4835875
6009628,1989-07-01,4845853
6009628,1989-12-01,4890269
6009628,1990-05-01,4922619
6009628,1990-05-01,4924592
6009628,1990-08-01,4945644
6009628,1991-11-01,5062212
6009628,1993-03-01,5197199
6009628,1995-06-01,5425178
6009628,1997-01-01,5596553
6009629,1987-10-01,4698912
6009629,1988-03-01,4733179
6009629,1989-02-01,4807462
6009629,1989-09-01,4866627
6009629,1993-02-01,5187872
6009629,1994-09-01,5349529
6009630,1977-08-01,4043679
