sno,citing,cited,ncites
848,6609395,3930383,8
849,6948342,3930383,8
850,4608839,3930384,2
851,4738123,3930384,2
852,4666098,3930385,3
853,5829711,3930385,3
854,7093645,3930385,3
855,4043152,3930387,2
856,6854296,3930387,2
857,4030628,3930388,17
858,4047744,3930388,17
859,4391111,3930388,17
860,4613055,3930388,17
861,4781044,3930388,17
862,4907716,3930388,17
863,5002322,3930388,17
864,5464109,3930388,17
865,5871113,3930388,17
866,5918758,3930388,17
867,6073792,3930388,17
868,6082572,3930388,17
869,6499327,3930388,17
870,6692045,3930388,17
871,6755057,3930388,17
872,6868874,3930388,17
873,7051772,3930388,17
874,4397332,3930389,5
875,4426863,3930389,5
876,4587814,3930389,5
877,4765468,3930389,5
878,5101869,3930389,5
879,4270780,3930390,2
880,6230528,3930390,2
881,4192161,3930391,8
882,4354367,3930391,8
883,4586355,3930391,8
884,4597274,3930391,8
885,4674308,3930391,8
886,4723428,3930391,8
887,4773242,3930391,8
888,4881391,3930391,8
889,4037447,3930392,3
890,4050275,3930392,3
891,4475371,3930392,3
892,5421182,3930393,1
893,4192164,3930395,5
894,4308740,3930395,5
895,4334421,3930395,5
896,5027632,3930395,5
897,6490902,3930395,5
898,4038859,3930396,10
899,4040282,3930396,10
900,4173882,3930396,10
901,4457150,3930396,10
902,4485663,3930396,10
903,4570843,3930396,10
904,5095730,3930396,10
905,5168742,3930396,10
906,6044676,3930396,10
907,6813924,3930396,10
908,6312155,3930397,1
909,4155245,3930398,5
910,4290299,3930398,5
911,4770040,3930398,5
912,4877329,3930398,5
913,4898475,3930398,5
914,4603979,3930399,5
915,4775943,3930399,5
916,5341672,3930399,5
917,6311549,3930399,5
918,6695470,3930399,5
919,6578407,3930400,1
920,4099404,3930401,11
921,4747298,3930401,11
922,4774830,3930401,11
923,4922746,3930401,11
924,4930342,3930401,11
925,4934180,3930401,11
926,5205157,3930401,11
927,5918270,3930401,11
928,6526810,3930401,11
929,6609541,3930401,11
930,6807846,3930401,11
931,4165632,3930402,5
932,4442704,3930402,5
933,4890482,3930402,5
934,4932242,3930402,5
935,5853786,3930402,5
936,4775943,3930403,3
937,5330576,3930403,3
938,5347851,3930403,3
939,4044606,3930404,20
940,4111053,3930404,20
941,4123943,3930404,20
942,4160385,3930404,20
